links,title,Authors,Publication Year,Journal/Conference,Abstract Summary,3-Way Decision Methodology,3-Way Feasibility,Domains of Application,Main Objective,Evaluation Metrics,Data Type and Size,Key Findings,Future Work Suggestions,Limitations,Keywords
https://www.tandfonline.com/doi/abs/10.1080/18756891.2011.9727759,"Risk Decision Making Based on Decision-theoretic Rough Set: A Three-way View Decision Model: International Journal of Computational Intelligence Systems: Vol 4, No 1","L.D.C.S. Subhashini, Yuefeng Li, Jinglan Zhang, Ajantha S. Atukorale",2022,Information Processing and Management,"Examines the integration of fuzzy and semantic features in a 3WOC model for opinion classification, enhancing coverage and accuracy.",Fuzzy and semantic feature integration in 3WOC.,Effective in simulating human judgment in opinion classification.,Opinion mining.,To improve opinion classification by integrating multiple feature types.,Coverage and accuracy in classification.,Amazon Musical Instrument dataset.,Combining fuzzy and semantic features improves classification accuracy.,Extend to diverse datasets.,Limited to selected feature sets.,"Three-way opinion classification, fuzzy features, semantic features"
https://www.sciencedirect.com/science/article/pii/S0950705115003007,A novel three-way decision model based on incomplete information system - ScienceDirect,"Shikai Li, Xin Long, Yaoyuan Zeng, Xueying Wang",2024,Journal of Physics: Conference Series,The study addresses air target threat assessment using an improved three-way decision model incorporating interval-valued intuitionistic fuzzy sets to handle uncertain information and a novel loss function to enhance classification accuracy.,Interval-valued intuitionistic fuzzy sets with attribute dominance-based loss function.,Useful in real-time military threat assessments with uncertain data.,"Military defense, air target threat classification.",To improve classification accuracy and decision-making reliability in air target threat assessment.,"Classification accuracy, robustness in uncertain scenarios.",Not specified.,Improved threat classification capability in uncertain conditions.,Expand to broader military applications.,Model complexity for real-time scenarios.,"Three-way decisions, interval-valued fuzzy sets, threat classification, military decision support"
https://link.springer.com/article/10.1007/s12559-016-9397-5,Three-Way Decisions and Cognitive Computing | Cognitive Computation,"Yufei Chen, Xiaodong Yue, Hamido Fujita, Siyuan Fu",2017,Knowledge-Based Systems,"This paper proposes a three-way decision model for diagnosing focal liver lesions (FLL) in CT images, balancing automatic classification and expert review for uncertain cases.",Decision-theoretic rough sets for tri-partitioning FLL diagnoses.,Applicable in medical diagnostics where uncertainty needs expert confirmation.,"Medical imaging, liver lesion diagnosis.",To integrate automated decision support with human judgment in FLL diagnostics.,"Diagnostic accuracy, decision cost optimization.",Focal liver lesion CT images.,Effective at distinguishing between benign and malignant liver lesions.,Broader applications in complex medical diagnostics.,Requires high-quality CT data for accuracy.,"Three-way decision, focal liver lesions, decision support, CT imaging"
https://www.sciencedirect.com/science/article/pii/S0020025517306849,Three-way decision approaches to conflict analysis using decision-theoretic rough set theory - ScienceDirect,"Yusheng Li, Feng Gao, Mengyi Sha, Xueyan Shao",2024,Applied Soft Computing,"Introduces a sequential three-way decision model with threshold learning for credit risk prediction, using loan-specific thresholds based on loss and information gain.",Sequential three-way decisions with dynamic threshold learning.,Adaptable to real-time financial credit risk scenarios.,"Financial risk management, credit assessment.",To optimize credit risk classification with individual thresholds for each loan.,"Prediction accuracy, decision cost reduction.",Chinese bank credit dataset.,Reduces credit risk classification errors and cost.,Extend to different financial datasets.,Specific to datasets with detailed loan attributes.,"Three-way decisions, credit risk prediction, threshold learning, financial decision support"
https://www.sciencedirect.com/science/article/pii/S0950705117301843,Three-way decision support for diagnosis on focal liver lesions - ScienceDirect,"Andrea Campagner, Federico Cabitza, Davide Ciucci",2020,Lecture Notes in Artificial Intelligence,"This narrative review highlights the application of three-way decisions to manage input and output uncertainties in machine learning, discussing cases in ML training and prediction.",Trisecting-acting-outcome (TAO) framework applied to machine learning uncertainty.,Effective in ML scenarios requiring abstention or uncertainty management.,"Machine learning, uncertainty handling.",To assess three-way decision applications in uncertainty within ML.,Not specified.,Literature review.,Highlights strengths of TWD in managing ML uncertainties.,Explore practical applications in various ML domains.,Lacks empirical data for ML model impact.,"Three-way decisions, machine learning, uncertainty, TAO model"
https://www.sciencedirect.com/science/article/pii/S0950705115003044,Sequential three-way decision and granulation for cost-sensitive face recognition - ScienceDirect,"Jianhua Dai, Tao Chen, Kai Zhang, Dun Liu, Weiping Ding",2024,IEEE Transactions on Fuzzy Systems,"This paper proposes a three-way decision model incorporating prospect theory and fuzzy sets, enabling risk-sensitive decision-making in multi-attribute scenarios.",Prospect theory-based fuzzy three-way decisions with recursive trisecting.,Useful in high-risk environments requiring sensitivity to user preferences.,"Risk-sensitive decision-making, multi-attribute decision making (MADM).",To integrate risk-sensitive and fuzzy logic into three-way decision-making.,Effectiveness index based on fuzzy set attributes.,Not specified.,Improves decision accuracy by incorporating risk attitudes.,Apply to diverse decision-making scenarios.,Complexity of multi-attribute environments.,"Prospect theory, three-way decisions, fuzzy logic, risk-sensitive decisions"
https://www.sciencedirect.com/science/article/pii/S0020025519308953,Interval-valued hesitant fuzzy multi-granularity three-way decisions in consensus processes with applications to multi-attribute group decision making - ScienceDirect,"JingTao Yao, Yiyu Yao, Davide Ciucci, Kaizhu Huang",2022,Cognitive Computation,"This paper explores how granular computing and three-way decisions support cognitive analytics. It addresses the theoretical and application aspects of cognitive computing, showcasing three-way decision models and their use in diverse fields such as business, management, and medical sciences.",Granular computing with multi-granular and triadic approaches for three-way decisions.,Effective in fields requiring data abstraction and multi-level reasoning.,"Cognitive computing, data mining, artificial intelligence.",To integrate granular and three-way computing for cognitive analytics.,Efficiency in cognitive tasks.,Case studies across multiple domains.,Cognitive analytics is enhanced through tri-partition-based decision-making.,"Extend models to dynamic, real-time applications.",Primarily theoretical approach.,"Cognitive analytics, granular computing, three-way decisions, tri-partition"
https://www.sciencedirect.com/science/article/pii/S0020025522012336,A three-way decision approach with prospect-regret theory via fuzzy set pair dominance degrees for incomplete information systems - ScienceDirect,Yiyu Yao,2015,Lecture Notes in Computer Science,"This foundational paper describes the application of rough set theory to three-way decision-making. It introduces a trisecting-and-acting framework, using rough set approximations for categorization in probabilistic rough sets.",Rough set theory with trisecting and acting framework.,Suitable for uncertain classification in rough set-based systems.,"Decision support systems, knowledge representation.",To formalize three-way decisions through rough sets.,Classification accuracy.,Theoretical model.,Rough set-based three-way decision models enhance decision-making flexibility.,Develop practical applications in decision support.,Requires structured datasets.,"Rough sets, three-way decisions, probabilistic rough sets, trisecting"
https://www.sciencedirect.com/science/article/pii/S0888613X21001298,A novel multi-granularity three-way decision making approach in q-rung orthopair fuzzy information systems - ScienceDirect,"Wenjie Wang, Jianming Zhan, Weiping Ding, Shuping Wan",2023,Artificial Intelligence Review,"This paper discusses a three-way decision model utilizing tolerance dominance relations in ordered decision information systems for medical diagnoses. It applies the model to classify patient data in a multi-attribute environment, enhancing decision accuracy by balancing loss and gain functions.",Tolerance dominance relations in ordered decision systems.,"Effective for MADM scenarios, particularly in medical diagnosis.","Medical diagnostics, multi-attribute decision-making.",To enhance patient classification accuracy by integrating tolerance dominance.,"Classification accuracy, patient diagnosis effectiveness.",Lymphography dataset.,Improves patient classification with reduced decision risks.,Broaden to other medical diagnostic datasets.,Limited to ordered decision systems.,"Tolerance dominance, three-way decisions, medical diagnostics, multi-attribute"
https://link.springer.com/article/10.1007/s12559-022-10101-8,Hyperautomation for Air Quality Evaluations: A Perspective of Evidential Three-way Decision-making | Cognitive Computation,"Bing Zhou, Yiyu Yao, Jigang Luo",2013,Journal of Intelligent Information Systems,"This paper presents a cost-sensitive three-way decision model for email spam filtering. By calculating thresholds based on decision-theoretic rough sets, the model enhances the classification accuracy and reduces misclassification costs.",Decision-theoretic rough sets with cost-sensitive thresholds.,Useful for systems requiring sensitivity to misclassification costs.,"Email spam filtering, cost-sensitive learning.",To improve spam filtering by incorporating cost-sensitive classification.,"Misclassification costs, classification accuracy.",Email dataset.,Reduces misclassification in spam filtering through deferment decisions.,Apply to other classification tasks with cost considerations.,Model complexity for real-time applications.,"Cost-sensitive learning, three-way decisions, email spam filtering, rough sets"
https://www.tandfonline.com/doi/abs/10.1080/02664769100000005,"A method of choosing multiway partitions for classification and decision trees: Journal of Applied Statistics: Vol 18, No 1",Yiyu Yao,2016,Cognitive Computation,This paper introduces the trisecting-and-acting model in cognitive computing. It examines how three-way decisions mirror human cognitive processes and discusses the cognitive benefits of this approach.,Trisecting-and-acting model with cognitive computing focus.,Effective for applications mirroring human cognitive processes.,"Cognitive computing, decision support.",To formalize three-way decision approaches in cognitive computing.,Decision effectiveness.,Theoretical framework.,Highlights cognitive advantages of three-way decision models.,Apply to cognitive systems in artificial intelligence.,Requires further empirical validation.,"Cognitive computing, three-way decisions, trisecting-and-acting, decision support"
https://www.sciencedirect.com/science/article/pii/S0377221702002734,A new method for group decision support based on ELECTRE III methodology - ScienceDirect,"Jiajia Zhou, Yian Zhu, Lian Li",2024,IEEE Transactions on Fuzzy Systems,"This study proposes a Pythagorean fuzzy TOPSIS model for node importance evaluation in Internet of Drones (IoD) networks. The model integrates multi-attribute assessments with a 3-way decision framework, using Pythagorean fuzzy middle ideal solutions for decision-making in UAV swarm networks.",Pythagorean fuzzy TOPSIS model with middle ideal solutions.,Suitable for multi-attribute assessments in dynamic networks.,"IoD networks, UAV swarm security.",To improve UAV node importance evaluation for enhanced network security.,"Node importance, robustness to network changes.",UAV swarm network simulations.,"Provides a robust assessment of node importance, enhancing security in UAV networks.",Explore other network types and multi-attribute frameworks.,Limited to UAV networks with specific node measures.,"Pythagorean fuzzy sets, three-way decisions, UAV networks, node importance"
https://www.sciencedirect.com/science/article/pii/S0020025510005645,The superiority of three-way decisions in probabilistic rough set models - ScienceDirect,"Wenke Ding, Xingchen Li, Xiajiong Shen",2023,Scientific Reports,"This paper introduces a 3-way decision model under a hesitant fuzzy linguistic environment using Dempster-Shafer theory to fuse information. The model evaluates alternatives in a hesitant fuzzy multi-attribute group decision-making (MAGDM) setup, accounting for confidence and loss in group evaluations.",Hesitant fuzzy linguistic 3-way decisions with evidence theory.,Effective for MAGDM scenarios involving hesitancy in linguistic evaluations.,"Multi-attribute decision-making, recommendation systems.",To enhance decision fusion under uncertain linguistic data.,"Confidence in evaluations, decision effectiveness.",Illustrative and comparative examples.,Improves precision in group decision-making by reducing information loss.,Apply to broader hesitant linguistic systems.,Complexity in integrating multiple hesitant fuzzy terms.,"Hesitant fuzzy linguistic, 3-way decisions, Dempster-Shafer theory, MAGDM"
https://psycnet.apa.org/record/2011-03463-001,A three-phase model of retirement decision making.,"Jie Shi, Qiupeng Liu, Chunlei Shi, Mingming Lv, Wenli Pang",2024,Symmetry,"This study develops an intuitionistic fuzzy sequential three-way decision model for decision-making under incomplete information systems, employing a density-based granulation method and enhanced decision processes for multi-level granularity.",Intuitionistic fuzzy sequential 3-way decision model.,Effective in handling incomplete data in multi-granularity decision-making.,"Data analysis, incomplete information systems.",To manage decision accuracy in uncertain environments through granulation.,"Classification accuracy, decision stability.",UCI dataset simulations.,Improved handling of incomplete data and accuracy.,Apply to other incomplete and fuzzy data systems.,Specific to incomplete information structures.,"Intuitionistic fuzzy sets, three-way decisions, sequential model, incomplete information"
https://www.researchgate.net/publication/383431623_Sequential_three-way_decision_with_automatic_threshold_learning_for_credit_risk_prediction?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,Sequential three-way decision with automatic threshold learning for credit risk prediction,Bao Qing Hu,2014,Information Sciences,"This paper establishes a framework for three-way decisions based on three elements: decision measurement, condition, and evaluation function. The study presents the concepts of three-way decision spaces and their applications to fuzzy and rough set-based decisions, introducing multi-granulation methods.",Multi-granulation three-way decision space based on fuzzy and rough sets.,Effective for systems requiring flexible decision spaces and multi-granular analysis.,"Fuzzy logic, rough set theory.",To create flexible decision spaces by integrating fuzzy and rough sets.,Decision consistency and flexibility.,Theoretical model.,Establishes a theoretical basis for multi-granulation decision-making.,Extend to practical decision support applications.,Mostly theoretical without empirical validation.,"Three-way decisions, fuzzy sets, rough sets, multi-granulation"
https://www.researchgate.net/publication/379882490_Three-way_decisions_with_Pythagorean_fuzzy_TOPSIS_for_Internet_of_Drones?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,Three-way decisions with Pythagorean fuzzy TOPSIS for Internet of Drones,"Yiding Wang, Junsheng Qiao, Tengbiao Li",2024,International Journal of Approximate Reasoning,"This research proposes fuzzy implication-based methods to transform semi-three-way decision spaces into full three-way decision spaces, enhancing decision-making effectiveness. The study includes comparisons to existing fuzzy logic methods, with results showing improved anti-noise capabilities.",Transformation from semi-three-way to full three-way decision spaces using fuzzy implications.,Suitable for complex environments where decision accuracy is critical.,"Decision theory, fuzzy logic.",To improve decision robustness and accuracy in semi-three-way spaces.,"Decision accuracy, noise resilience.",Tested on complex datasets.,Improved robustness against noise and higher decision precision.,Apply to broader decision-making scenarios.,Limited to specific fuzzy implications.,"Fuzzy implications, three-way decisions, semi-three-way decision spaces"
https://www.researchgate.net/publication/383170021_Fused_Decision_Rules_of_Multi-Intuitionistic_Fuzzy_Information_Systems_Based_on_the_D-S_Evidence_Theory_and_Three-Way_Decisions?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,Fused Decision Rules of Multi-Intuitionistic Fuzzy Information Systems Based on the D-S Evidence Theory and Three-Way Decisions,"Stefania Boffa, Davide Ciucci",Not specified,SSRN Preprint,"This article explores a linguistic approach to three-way decisions using evaluative expressions like 'small,' 'medium,' and 'big.' It aims to make three-way decision outcomes more understandable for non-technical users, aligning with goals of Explainable AI.",Evaluative linguistic expressions in three-way decision regions.,"Effective in scenarios requiring user-friendly, explainable decisions.","Explainable AI, decision-making.",To enhance interpretability of three-way decisions for non-technical users.,"Explainability, user comprehension.",Illustrative examples.,Increases decision transparency for non-technical users.,Broaden applications to other explainable AI tasks.,Limited empirical data.,"Evaluative linguistic expressions, explainable AI, three-way decisions, natural language"
https://www.researchgate.net/publication/379607928_Three-way_decisions_based_multi-attribute_decision-making_with_utility_and_loss_functions?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,Three-way decisions based multi-attribute decision-making with utility and loss functions,"Changlin Xu, Songqian Mao",2023,Fuzzy Systems and Data Mining,This paper presents a three-way decision approach for incomplete information systems using interval loss functions to reduce decision-making errors. The methodology uses granulation and interval aggregation techniques.,Interval loss function-based aggregation for incomplete information.,Effective in settings with incomplete data.,"Incomplete information systems, data mining.",To mitigate errors in decision-making with incomplete information.,"Error reduction, decision reliability.",Case study.,Reduces decision-making errors under uncertainty.,Extend to larger-scale systems.,Dependence on initial interval assumptions.,"Incomplete information, interval loss function, three-way decisions, aggregation"
https://www.researchgate.net/publication/384273953_Intuitionistic_Fuzzy_Sequential_Three-Way_Decision_Model_in_Incomplete_Information_Systems?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,Intuitionistic Fuzzy Sequential Three-Way Decision Model in Incomplete Information Systems,"Jie Yang, Xiaoqi Wang, Guoyin Wang, Qinghua Zhang, Nenggan Zheng, Di Wu",2024,IEEE Transactions on Fuzzy Systems,"This study introduces a fuzziness-based three-way decision model under a shadowed sets framework, aimed at minimizing misclassification by optimizing threshold parameters. The model uses neighborhood rough sets and shadowed set frameworks to improve decision consistency.",Fuzziness-based neighborhood rough sets in shadowed sets framework.,Suitable for high-stakes environments requiring precise thresholds.,"Machine learning, decision analysis.",To enhance decision accuracy by optimizing threshold parameters.,"Decision consistency, misclassification minimization.",Applied in decision-making simulations.,Achieves lower misclassification rates with optimized thresholding.,Explore other granulation methods.,Requires expert-defined risk parameters.,"Neighborhood rough sets, shadowed sets, fuzziness, three-way decisions"
https://www.researchgate.net/publication/383587402_Target_Threat_Level_Classification_Based_on_Improved_Three-way_Decisions?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,Target Threat Level Classification Based on Improved Three-way Decisions,"Zhihua Zhang, Lu Liu, Chunying Zhang, Jing Ren, Jiang Ma, Liya Wang, Bin Liu",2024,Electronics,This study presents a moving target evolutionary game defense model (MTTEGDM) for cyberspace security using three-way decisions. The model introduces dynamic weight adjustments and integrates attack intentions to enhance defense accuracy. Simulations demonstrate its efficacy in predicting optimal defense strategies.,Three-way evolutionary game model with dynamic weight adjustments.,"Suitable for dynamic, uncertain cyber environments.","Cyberspace security, network defense.",To improve adaptive defense strategy selection in network security.,Defense strategy optimization.,Simulations on network defense scenarios.,Enhances defense strategy prediction accuracy.,Extend to other cybersecurity applications.,Requires complex simulations.,"Moving target defense, evolutionary game, cyberspace security, three-way decisions"
